speed 38400 baud; line = 0;
min = 1; time = 0;
-brkint -icrnl -imaxbel
-onlcr
-isig -icanon -echo
Q31
Q11
14:16:02 # Thu May 31 14:16:02 2001
14:16:02 # IOM Initialization
14:16:02 # TTY Initialization
14:16:03 # IO Initialization
14:16:03 # IO Initialization complete
14:16:03 # IOM Commencement
14:16:03 Analog: L@: 1.774384  # 1.774384  ( 1 )
14:16:03 ! MODE D @@@A
14:16:03 ! MODE B @@@A
15:41:02 Analog: L@: 1.753570  # 1.75625585265  ( 86 )
15:42:02 Analog: L@: 1.763977  # 1.76011642632  ( 87 )
15:43:02 Analog: L@: 1.766579  # 1.76334771316  ( 88 )
15:44:02 Analog: L@: 1.766579  # 1.76496335658  ( 89 )
15:45:02 Analog: L@: 1.753570  # 1.75926667829  ( 90 )
15:46:02 Analog: L@: 1.753570  # 1.75641833915  ( 91 )
15:47:02 Analog: L@: 1.779588  # 1.76800316957  ( 92 )
15:48:02 Analog: L@: 1.771783  # 1.76989308479  ( 93 )
15:49:02 Analog: L@: 1.769181  # 1.76953704239  ( 94 )
15:50:02 Analog: L@: 1.771783  # 1.7706600212  ( 95 )
15:51:02 Analog: L@: 1.771783  # 1.7712215106  ( 96 )
15:52:02 Analog: L@: 1.771783  # 1.7715022553  ( 97 )
15:53:03 Analog: L@: 1.753570  # 1.76253612765  ( 98 )
15:54:03 Analog: L@: 1.766579  # 1.76455756382  ( 99 )
15:55:03 Analog: L@: 1.750969  # 1.75776328191  ( 100 )
15:56:03 Analog: L@: 1.771783  # 1.76477314096  ( 101 )
15:57:03 Analog: L@: 1.756172  # 1.76047257048  ( 102 )
15:58:03 Analog: L@: 1.771783  # 1.76612778524  ( 103 )
15:59:03 Analog: L@: 1.769181  # 1.76765439262  ( 104 )
16:00:03 Analog: L@: 1.769181  # 1.76841769631  ( 105 )
16:01:03 Analog: L@: 1.756172  # 1.76229484815  ( 106 )
16:02:03 Analog: L@: 1.766579  # 1.76443692408  ( 107 )
16:03:03 Analog: L@: 1.756172  # 1.76030446204  ( 108 )
16:04:03 Analog: L@: 1.771783  # 1.76604373102  ( 109 )
16:05:03 Analog: L@: 1.769181  # 1.76761236551  ( 110 )
16:06:03 Analog: L@: 1.758774  # 1.76319318275  ( 111 )
16:07:03 Analog: L@: 1.769181  # 1.76618709138  ( 112 )
16:08:03 Analog: L@: 1.766579  # 1.76638304569  ( 113 )
16:09:03 Analog: L@: 1.758774  # 1.76257852284  ( 114 )
16:10:03 Analog: L@: 1.769181  # 1.76587976142  ( 115 )
16:11:03 Analog: L@: 1.758774  # 1.76232688071  ( 116 )
16:12:03 Analog: L@: 1.753570  # 1.75794844036  ( 117 )
16:13:03 Analog: L@: 1.769181  # 1.76356472018  ( 118 )
16:14:03 Analog: L@: 1.771783  # 1.76767386009  ( 119 )
16:15:03 Analog: L@: 1.771783  # 1.76972843004  ( 120 )
16:16:03 Analog: L@: 1.769181  # 1.76945471502  ( 121 )
16:17:03 Analog: L@: 1.769181  # 1.76931785751  ( 122 )
16:18:03 Analog: L@: 1.769181  # 1.76924942876  ( 123 )
16:19:03 Analog: L@: 1.758774  # 1.76401171438  ( 124 )
16:20:03 Analog: L@: 1.758774  # 1.76139285719  ( 125 )
16:21:03 Analog: L@: 1.769181  # 1.76528692859  ( 126 )
16:22:03 Analog: L@: 1.756172  # 1.7607294643  ( 127 )
16:23:03 Analog: L@: 1.753570  # 1.75714973215  ( 128 )
16:24:03 Analog: L@: 1.769181  # 1.76316536607  ( 129 )
16:25:03 Analog: L@: 1.766579  # 1.76487218304  ( 130 )
16:26:03 Analog: L@: 1.758774  # 1.76182309152  ( 131 )
16:27:03 Analog: L@: 1.769181  # 1.76550204576  ( 132 )
16:28:03 Analog: L@: 1.761376  # 1.76343902288  ( 133 )
16:29:04 Analog: L@: 1.769181  # 1.76631001144  ( 134 )
16:30:04 Analog: L@: 1.769181  # 1.76774550572  ( 135 )
16:31:04 Analog: L@: 1.771783  # 1.76976425286  ( 136 )
16:32:04 Analog: L@: 1.771783  # 1.77077362643  ( 137 )
16:33:04 Analog: L@: 1.766579  # 1.76867631321  ( 138 )
16:34:04 Analog: L@: 1.769181  # 1.76892865661  ( 139 )
16:35:04 Analog: L@: 1.769181  # 1.7690548283  ( 140 )
16:36:04 Analog: L@: 1.758774  # 1.76391441415  ( 141 )
16:37:04 Analog: L@: 1.758774  # 1.76134420708  ( 142 )
16:38:04 Analog: L@: 1.769181  # 1.76526260354  ( 143 )
16:39:04 Analog: L@: 1.769181  # 1.76722180177  ( 144 )
16:40:04 Analog: L@: 1.769181  # 1.76820140088  ( 145 )
16:41:04 Analog: L@: 1.756172  # 1.76218670044  ( 146 )
16:42:04 Analog: L@: 1.756172  # 1.75917935022  ( 147 )
16:43:04 Analog: L@: 1.774384  # 1.76678167511  ( 148 )
16:44:04 Analog: L@: 1.766579  # 1.76668033756  ( 149 )
16:45:04 Analog: L@: 1.756172  # 1.76142616878  ( 150 )
16:46:04 Analog: L@: 1.766579  # 1.76400258439  ( 151 )
16:47:04 Analog: L@: 1.766579  # 1.76529079219  ( 152 )
16:48:04 Analog: L@: 1.763977  # 1.7646338961  ( 153 )
16:49:04 Analog: L@: 1.761376  # 1.76300494805  ( 154 )
16:50:04 Analog: L@: 1.758774  # 1.76088947402  ( 155 )
16:51:04 Analog: L@: 1.771783  # 1.76633623701  ( 156 )
16:52:04 Analog: L@: 1.776986  # 1.77166111851  ( 157 )
16:53:04 Analog: L@: 1.769181  # 1.77042105925  ( 158 )
16:54:04 Analog: L@: 1.753570  # 1.76199552963  ( 159 )
16:55:04 Analog: L@: 1.769181  # 1.76558826481  ( 160 )
16:56:04 Analog: L@: 1.769181  # 1.76738463241  ( 161 )
16:57:04 Analog: L@: 1.766579  # 1.7669818162  ( 162 )
16:58:04 Analog: L@: 1.766579  # 1.7667804081  ( 163 )
16:59:04 Analog: L@: 1.769181  # 1.76798070405  ( 164 )
17:00:04 Analog: L@: 1.763977  # 1.76597885203  ( 165 )
17:01:04 Analog: L@: 1.756172  # 1.76107542601  ( 166 )
17:02:04 Analog: L@: 1.769181  # 1.76512821301  ( 167 )
17:03:04 Analog: L@: 1.769181  # 1.7671546065  ( 168 )
17:04:04 Analog: L@: 1.758774  # 1.76296430325  ( 169 )
17:05:04 Analog: L@: 1.771783  # 1.76737365163  ( 170 )
17:06:04 Analog: L@: 1.771783  # 1.76957832581  ( 171 )
17:07:05 Analog: L@: 1.771783  # 1.77068066291  ( 172 )
17:08:05 Analog: L@: 1.758774  # 1.76472733145  ( 173 )
17:09:05 Analog: L@: 1.750969  # 1.75784816573  ( 174 )
17:10:05 Analog: L@: 1.771783  # 1.76481558286  ( 175 )
17:11:05 Analog: L@: 1.758774  # 1.76179479143  ( 176 )
17:12:05 Analog: L@: 1.763977  # 1.76288589572  ( 177 )
17:13:05 Analog: L@: 1.756172  # 1.75952894786  ( 178 )
17:14:05 Analog: L@: 1.771783  # 1.76565597393  ( 179 )
17:15:05 Analog: L@: 1.769181  # 1.76741848696  ( 180 )
17:16:05 Analog: L@: 1.769181  # 1.76829974348  ( 181 )
17:17:05 Analog: L@: 1.761376  # 1.76483787174  ( 182 )
17:18:05 Analog: L@: 1.774384  # 1.76961093587  ( 183 )
17:19:05 Analog: L@: 1.756172  # 1.76289146794  ( 184 )
17:20:05 Analog: L@: 1.771783  # 1.76733723397  ( 185 )
17:21:05 Analog: L@: 1.769181  # 1.76825911698  ( 186 )
17:22:05 Analog: L@: 1.756172  # 1.76221555849  ( 187 )
17:23:05 Analog: L@: 1.769181  # 1.76569827925  ( 188 )
17:24:05 Analog: L@: 1.771783  # 1.76874063962  ( 189 )
17:25:05 Analog: L@: 1.766579  # 1.76765981981  ( 190 )
17:26:05 Analog: L@: 1.774384  # 1.77102190991  ( 191 )
17:27:05 Analog: L@: 1.753570  # 1.76229595495  ( 192 )
17:28:05 Analog: L@: 1.758774  # 1.76053497748  ( 193 )
17:29:05 Analog: L@: 1.769181  # 1.76485798874  ( 194 )
17:30:05 Analog: L@: 1.769181  # 1.76701949437  ( 195 )
17:31:05 Analog: L@: 1.761376  # 1.76419774718  ( 196 )
17:32:05 Analog: L@: 1.758774  # 1.76148587359  ( 197 )
17:33:05 Analog: L@: 1.769181  # 1.7653334368  ( 198 )
17:34:05 Analog: L@: 1.766579  # 1.7659562184  ( 199 )
17:35:05 Analog: L@: 1.766579  # 1.7662676092  ( 200 )
17:36:05 Analog: L@: 1.758774  # 1.7625208046  ( 201 )
17:37:05 Analog: L@: 1.761376  # 1.7619484023  ( 202 )
17:38:05 Analog: L@: 1.769181  # 1.76556470115  ( 203 )
17:39:05 Analog: L@: 1.763977  # 1.76477085057  ( 204 )
17:40:05 Analog: L@: 1.761376  # 1.76307342529  ( 205 )
17:41:05 Analog: L@: 1.766579  # 1.76482621264  ( 206 )
17:42:05 Analog: L@: 1.776986  # 1.77090610632  ( 207 )
17:43:05 Analog: L@: 1.769181  # 1.77004355316  ( 208 )
17:44:05 Analog: L@: 1.769181  # 1.76961227658  ( 209 )
17:45:06 Analog: L@: 1.761376  # 1.76549413829  ( 210 )
17:46:06 Analog: L@: 1.766579  # 1.76603656915  ( 211 )
17:47:06 Analog: L@: 1.769181  # 1.76760878457  ( 212 )
17:48:06 Analog: L@: 1.753570  # 1.76058939229  ( 213 )
17:49:06 Analog: L@: 1.758774  # 1.75968169614  ( 214 )
17:50:06 Analog: L@: 1.756172  # 1.75792684807  ( 215 )
17:51:06 Analog: L@: 1.766579  # 1.76225292404  ( 216 )
17:52:06 Analog: L@: 1.756172  # 1.75921246202  ( 217 )
17:53:06 Analog: L@: 1.771783  # 1.76549773101  ( 218 )
17:54:06 Analog: L@: 1.769181  # 1.7673393655  ( 219 )
17:55:06 Analog: L@: 1.763977  # 1.76565818275  ( 220 )
17:56:06 Analog: L@: 1.758774  # 1.76221609138  ( 221 )
17:57:06 Analog: L@: 1.753570  # 1.75789304569  ( 222 )
17:58:06 Analog: L@: 1.769181  # 1.76353702284  ( 223 )
17:59:06 Analog: L@: 1.750969  # 1.75725301142  ( 224 )
18:00:06 Analog: L@: 1.766579  # 1.76191600571  ( 225 )
18:01:06 Analog: L@: 1.763977  # 1.76294650286  ( 226 )
18:02:06 Analog: L@: 1.750969  # 1.75695775143  ( 227 )
18:03:06 Analog: L@: 1.769181  # 1.76306937571  ( 228 )
18:04:06 Analog: L@: 1.753570  # 1.75831968786  ( 229 )
18:05:06 Analog: L@: 1.758774  # 1.75854684393  ( 230 )
18:06:06 Analog: L@: 1.769181  # 1.76386392196  ( 231 )
18:07:06 Analog: L@: 1.758774  # 1.76131896098  ( 232 )
18:08:06 Analog: L@: 1.753570  # 1.75744448049  ( 233 )
18:09:06 Analog: L@: 1.771783  # 1.76461374025  ( 234 )
18:10:06 Analog: L@: 1.771783  # 1.76819837012  ( 235 )
18:11:06 Analog: L@: 1.769181  # 1.76868968506  ( 236 )
18:12:06 Analog: L@: 1.769181  # 1.76893534253  ( 237 )
18:13:06 Analog: L@: 1.766579  # 1.76775717127  ( 238 )
18:14:06 Analog: L@: 1.769181  # 1.76846908563  ( 239 )
18:15:06 Analog: L@: 1.771783  # 1.77012604282  ( 240 )
18:16:06 Analog: L@: 1.769181  # 1.76965352141  ( 241 )
18:17:06 Analog: L@: 1.756172  # 1.7629127607  ( 242 )
18:18:06 Analog: L@: 1.769181  # 1.76604688035  ( 243 )
18:19:06 Analog: L@: 1.753570  # 1.75980844018  ( 244 )
18:20:06 Analog: L@: 1.763977  # 1.76189272009  ( 245 )
18:21:07 Analog: L@: 1.758774  # 1.76033336004  ( 246 )
18:22:07 Analog: L@: 1.774384  # 1.76735868002  ( 247 )
18:23:07 Analog: L@: 1.769181  # 1.76826984001  ( 248 )
18:24:07 Analog: L@: 1.774384  # 1.77132692001  ( 249 )
18:25:07 Analog: L@: 1.771783  # 1.77155496  ( 250 )
18:26:07 Analog: L@: 1.763977  # 1.76776598  ( 251 )
18:27:07 Analog: L@: 1.763977  # 1.76587149  ( 252 )
18:28:07 Analog: L@: 1.766579  # 1.766225245  ( 253 )
18:29:07 Analog: L@: 1.769181  # 1.7677031225  ( 254 )
18:30:07 Analog: L@: 1.769181  # 1.76844206125  ( 255 )
18:31:07 Analog: L@: 1.756172  # 1.76230703063  ( 256 )
18:32:07 Analog: L@: 1.761376  # 1.76184151531  ( 257 )
18:33:07 Analog: L@: 1.763977  # 1.76290925766  ( 258 )
18:34:07 Analog: L@: 1.769181  # 1.76604512883  ( 259 )
18:35:07 Analog: L@: 1.771783  # 1.76891406441  ( 260 )
18:36:07 Analog: L@: 1.750969  # 1.75994153221  ( 261 )
18:37:07 Analog: L@: 1.756172  # 1.7580567661  ( 262 )
18:38:07 Analog: L@: 1.766579  # 1.76231788305  ( 263 )
18:39:07 Analog: L@: 1.758774  # 1.76054594153  ( 264 )
18:40:07 Analog: L@: 1.758774  # 1.75965997076  ( 265 )
18:41:07 Analog: L@: 1.769181  # 1.76442048538  ( 266 )
18:42:07 Analog: L@: 1.753570  # 1.75899524269  ( 267 )
18:43:07 Analog: L@: 1.769181  # 1.76408812135  ( 268 )
18:44:07 Analog: L@: 1.761376  # 1.76273206067  ( 269 )
18:45:07 Analog: L@: 1.763977  # 1.76335453034  ( 270 )
18:46:07 Analog: L@: 1.758774  # 1.76106426517  ( 271 )
18:47:07 Analog: L@: 1.763977  # 1.76252063258  ( 272 )
18:48:07 Analog: L@: 1.769181  # 1.76585081629  ( 273 )
18:49:07 Analog: L@: 1.758774  # 1.76231240815  ( 274 )
18:50:07 Analog: L@: 1.766579  # 1.76444570407  ( 275 )
18:51:07 Analog: L@: 1.758774  # 1.76160985204  ( 276 )
18:52:07 Analog: L@: 1.753570  # 1.75758992602  ( 277 )
18:53:07 Analog: L@: 1.766579  # 1.76208446301  ( 278 )
18:54:07 Analog: L@: 1.756172  # 1.7591282315  ( 279 )
18:55:07 Analog: L@: 1.769181  # 1.76415461575  ( 280 )
18:56:07 Analog: L@: 1.758774  # 1.76146430788  ( 281 )
18:57:07 Analog: L@: 1.769181  # 1.76532265394  ( 282 )
18:58:07 Analog: L@: 1.769181  # 1.76725182697  ( 283 )
18:59:08 Analog: L@: 1.769181  # 1.76821641348  ( 284 )
19:00:08 Analog: L@: 1.758774  # 1.76349520674  ( 285 )
19:01:08 Analog: L@: 1.766579  # 1.76503710337  ( 286 )
19:02:08 Analog: L@: 1.763977  # 1.76450705169  ( 287 )
19:03:08 Analog: L@: 1.763977  # 1.76424202584  ( 288 )
19:04:08 Analog: L@: 1.763977  # 1.76410951292  ( 289 )
19:05:08 Analog: L@: 1.756172  # 1.76014075646  ( 290 )
19:06:08 Analog: L@: 1.758774  # 1.75945737823  ( 291 )
19:07:08 Analog: L@: 1.763977  # 1.76171718912  ( 292 )
19:08:08 Analog: L@: 1.769181  # 1.76544909456  ( 293 )
19:09:08 Analog: L@: 1.769181  # 1.76731504728  ( 294 )
19:10:08 Analog: L@: 1.769181  # 1.76824802364  ( 295 )
19:11:08 Analog: L@: 1.761376  # 1.76481201182  ( 296 )
19:12:08 Analog: L@: 1.763977  # 1.76439450591  ( 297 )
19:13:08 Analog: L@: 1.756172  # 1.76028325295  ( 298 )
19:14:08 Analog: L@: 1.766579  # 1.76343112648  ( 299 )
19:15:08 Analog: L@: 1.766579  # 1.76500506324  ( 300 )
19:16:08 Analog: L@: 1.750969  # 1.75798703162  ( 301 )
19:17:08 Analog: L@: 1.753570  # 1.75577851581  ( 302 )
19:18:08 Analog: L@: 1.753570  # 1.7546742579  ( 303 )
19:19:08 Analog: L@: 1.769181  # 1.76192762895  ( 304 )
19:20:08 Analog: L@: 1.769181  # 1.76555431448  ( 305 )
19:21:08 Analog: L@: 1.756172  # 1.76086315724  ( 306 )
19:22:08 Analog: L@: 1.769181  # 1.76502207862  ( 307 )
19:23:08 Analog: L@: 1.774384  # 1.76970303931  ( 308 )
19:24:08 Analog: L@: 1.756172  # 1.76293751965  ( 309 )
19:25:08 Analog: L@: 1.761376  # 1.76215675983  ( 310 )
19:26:08 Analog: L@: 1.771783  # 1.76696987991  ( 311 )
19:27:08 Analog: L@: 1.769181  # 1.76807543996  ( 312 )
19:28:08 Analog: L@: 1.758774  # 1.76342471998  ( 313 )
19:29:08 Analog: L@: 1.769181  # 1.76630285999  ( 314 )
19:30:08 Analog: L@: 1.774384  # 1.77034342999  ( 315 )
19:31:08 Analog: L@: 1.763977  # 1.767160215  ( 316 )
19:32:08 Analog: L@: 1.758774  # 1.7629671075  ( 317 )
19:33:08 Analog: L@: 1.774384  # 1.76867555375  ( 318 )
19:34:08 Analog: L@: 1.779588  # 1.77413177687  ( 319 )
19:35:08 Analog: L@: 1.750969  # 1.76255038844  ( 320 )
19:36:09 Analog: L@: 1.771783  # 1.76716669422  ( 321 )
19:37:09 Analog: L@: 1.766579  # 1.76687284711  ( 322 )
19:38:09 Analog: L@: 1.763977  # 1.76542492355  ( 323 )
19:39:09 Analog: L@: 1.769181  # 1.76730296178  ( 324 )
19:40:09 Analog: L@: 1.758774  # 1.76303848089  ( 325 )
19:41:09 Analog: L@: 1.758774  # 1.76090624044  ( 326 )
19:42:09 Analog: L@: 1.766579  # 1.76374262022  ( 327 )
19:43:09 Analog: L@: 1.766579  # 1.76516081011  ( 328 )
19:44:09 Analog: L@: 1.771783  # 1.76847190506  ( 329 )
19:45:09 Analog: L@: 1.771783  # 1.77012745253  ( 330 )
19:46:09 Analog: L@: 1.766579  # 1.76835322626  ( 331 )
19:47:09 Analog: L@: 1.753570  # 1.76096161313  ( 332 )
19:48:09 Analog: L@: 1.769181  # 1.76507130657  ( 333 )
19:49:09 Analog: L@: 1.753570  # 1.75932065328  ( 334 )
19:50:09 Analog: L@: 1.763977  # 1.76164882664  ( 335 )
19:51:09 Analog: L@: 1.769181  # 1.76541491332  ( 336 )
19:52:09 Analog: L@: 1.758774  # 1.76209445666  ( 337 )
19:53:09 Analog: L@: 1.769181  # 1.76563772833  ( 338 )
19:54:09 Analog: L@: 1.766579  # 1.76610836417  ( 339 )
19:55:09 Analog: L@: 1.753570  # 1.75983918208  ( 340 )
19:56:09 Analog: L@: 1.766579  # 1.76320909104  ( 341 )
19:57:09 Analog: L@: 1.769181  # 1.76619504552  ( 342 )
19:58:09 Analog: L@: 1.774384  # 1.77028952276  ( 343 )
19:59:09 Analog: L@: 1.763977  # 1.76713326138  ( 344 )
20:00:09 Analog: L@: 1.753570  # 1.76035163069  ( 345 )
20:01:09 Analog: L@: 1.769181  # 1.76476631535  ( 346 )
20:02:09 Analog: L@: 1.769181  # 1.76697365767  ( 347 )
20:03:09 Analog: L@: 1.750969  # 1.75897132884  ( 348 )
20:04:09 Analog: L@: 1.756172  # 1.75757166442  ( 349 )
20:05:09 Analog: L@: 1.769181  # 1.76337633221  ( 350 )
20:06:09 Analog: L@: 1.756172  # 1.7597741661  ( 351 )
20:07:09 Analog: L@: 1.766579  # 1.76317658305  ( 352 )
20:08:09 Analog: L@: 1.758774  # 1.76097529153  ( 353 )
20:09:09 Analog: L@: 1.761376  # 1.76117564576  ( 354 )
20:10:09 Analog: L@: 1.756172  # 1.75867382288  ( 355 )
20:11:09 Analog: L@: 1.769181  # 1.76392741144  ( 356 )
20:12:09 Analog: L@: 1.774384  # 1.76915570572  ( 357 )
20:13:10 Analog: L@: 1.758774  # 1.76396485286  ( 358 )
20:14:10 Analog: L@: 1.769181  # 1.76657292643  ( 359 )
20:15:10 Analog: L@: 1.766579  # 1.76657596322  ( 360 )
20:16:10 Analog: L@: 1.766579  # 1.76657748161  ( 361 )
20:17:10 Analog: L@: 1.763977  # 1.7652772408  ( 362 )
20:18:10 Analog: L@: 1.771783  # 1.7685301204  ( 363 )
20:19:10 Analog: L@: 1.766579  # 1.7675545602  ( 364 )
20:20:10 Analog: L@: 1.758774  # 1.7631642801  ( 365 )
